STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,N07240
1,AL,35218,5,30,0,0
1,AL,35218,6,0,0,0
1,AL,35221,1,930,470,60
1,AL,35221,2,540,240,100
1,AL,35221,3,160,80,0
1,AL,35221,4,50,0,0
1,AL,35221,5,20,0,0
1,AL,35221,6,0,0,0
1,AL,35222,1,1150,810,60
1,AL,35222,2,890,660,100
1,AL,35222,3,540,400,0
1,AL,35222,4,380,200,0
1,AL,35222,5,670,230,0
1,AL,35222,6,420,70,0
1,AL,35223,1,1080,1000,0
1,AL,35223,2,550,410,60
1,AL,35223,3,480,310,20
1,AL,35223,4,360,160,0
1,AL,35223,5,1200,230,0
1,AL,35223,6,1890,180,0
1,AL,35224,1,1120,580,60
1,AL,35224,2,640,250,170
1,AL,35224,3,230,100,0
1,AL,35224,4,80,40,0
1,AL,35224,5,60,0,0
1,AL,35224,6,0,0,0
1,AL,35226,1,3640,2860,120
1,AL,35226,2,2680,1590,310
1,AL,35226,3,2300,1040,140
1,AL,35226,4,1860,470,0
1,AL,35226,5,4470,550,0
1,AL,35226,6,1990,130,0
1,AL,35228,1,2190,1130,150
1,AL,35228,2,1320,540,300
1,AL,35228,3,400,160,0
1,AL,35228,4,140,50,0
1,AL,35228,5,80,0,0
1,AL,35228,6,0,0,0
1,AL,35233,1,260,220,0
1,AL,35233,2,240,200,30
1,AL,35233,3,180,160,0
1,AL,35233,4,80,60,0
1,AL,35233,5,130,90,0
1,AL,35233,6,50,0,0
1,AL,35234,1,1090,620,80
1,AL,35234,2,490,200,90
1,AL,35234,3,110,50,0
1,AL,35234,4,40,20,0
1,AL,35234,5,30,0,0
1,AL,35234,6,0,0,0
1,AL,35235,1,3400,2120,220
1,AL,35235,2,3060,1340,610
1,AL,35235,3,1470,600,70
1,AL,35235,4,670,160,0
1,AL,35235,5,600,100,0
1,AL,35235,6,60,0,0
1,AL,35242,1,5990,4960,210
1,AL,35242,2,4270,2670,490
1,AL,35242,3,3010,1590,150
1,AL,35242,4,2230,730,0
1,AL,35242,5,5840,820,0
1,AL,35242,6,4570,290,0
1,AL,35243,1,2180,1850,80
1,AL,35243,2,1860,1360,150
1,AL,35243,3,1480,960,60
1,AL,35243,4,990,450,0
1,AL,35243,5,1940,420,0
1,AL,35243,6,1830,160,0
1,AL,35244,1,3940,3160,170
1,AL,35244,2,3070,1790,420
1,AL,35244,3,2200,1030,100
1,AL,35244,4,1690,490,0
1,AL,35244,5,3920,450,0
1,AL,35244,6,1860,110,0
